Edad,Genero,LugarOrigen,PromedioBachillerato,PuntajeExamenAdmision,NivelSocioeconomico,TieneBeca,PromedioPrimerSemestre,Desercion
21,Femenino,Rural,8.59,64,Medio,1,6.93,0
17,Masculino,Ciudad,9.29,73,Alto,0,8.68,0
21,Femenino,Rural,9.03,60,Bajo,0,7.69,1
18,Masculino,Ciudad,9.17,73,Bajo,0,9.14,1
20,Masculino,Ciudad,8.16,84,Medio,1,,0
19,Masculino,Ciudad,8.29,73,Bajo,1,8.64,0
22,Femenino,Rural,8.89,66,Medio,0,7.7,0
20,Masculino,Ciudad,8.06,57,Medio,0,8.11,1
37,Femenino,Ciudad,8.09,95,Medio,0,8.46,1
19,Femenino,Ciudad,8.74,58,Bajo,0,8.39,1
21,Masculino,Rural,9.11,78,Medio,0,8.35,1
18,Femenino,Ciudad,8.34,76,Medio,0,7.91,1
17,Femenino,Rural,7.57,67,Medio,0,7.38,0
19,Masculino,Ciudad,7.91,67,Bajo,1,7.52,0
18,Femenino,Ciudad,8.66,51,Medio,0,7.89,0
18,Masculino,Ciudad,8.65,73,Alto,0,8.01,0
19,Masculino,Ciudad,8.69,76,Bajo,1,8.85,0
21,Masculino,Ciudad,8.92,59,Bajo,0,8.08,0
22,Femenino,Ciudad,8.5,68,Bajo,1,7.73,1
18,Femenino,Ciudad,8.71,70,Medio,1,8.37,0
20,Masculino,Rural,8.46,75,Medio,0,7.87,0
18,Femenino,Ciudad,9.42,70,Medio,1,9.63,0
22,Masculino,Ciudad,9.65,53,Bajo,1,,0
21,Masculino,Rural,7.55,64,Bajo,1,7.45,1
21,Masculino,Ciudad,8.3,72,Medio,0,6.98,1
20,Femenino,Ciudad,8.53,78,Medio,0,8.14,0
18,Femenino,Rural,8.29,63,,0,7.48,1
21,Masculino,Ciudad,9.93,91,Bajo,1,10.0,0
22,Femenino,Ciudad,8.68,51,Medio,0,6.91,0
19,Femenino,Ciudad,7.86,64,Medio,0,7.94,0
17,Masculino,Rural,8.98,69,Medio,0,7.56,0
17,Masculino,Ciudad,8.72,68,Medio,0,8.62,1
17,Masculino,Ciudad,8.74,57,Medio,0,7.32,1
18,Masculino,Rural,9.95,74,Alto,0,8.98,0
20,Femenino,Rural,8.78,73,Bajo,0,8.05,0
21,Masculino,Ciudad,8.26,70,Bajo,1,8.42,0
19,Otro,Ciudad,6.94,73,Medio,0,7.64,1
22,Femenino,Ciudad,8.37,65,Medio,0,7.87,1
19,Masculino,Ciudad,9.54,53,Bajo,1,7.3,0
22,Masculino,Ciudad,8.43,62,Bajo,1,7.21,0
18,Masculino,Ciudad,6.71,71,Bajo,1,6.37,0
17,Masculino,Rural,8.1,71,Alto,0,6.6,1
18,Masculino,Rural,9.29,70,Bajo,1,9.02,0
20,Femenino,Ciudad,8.94,75,Bajo,1,8.22,0
20,Femenino,Rural,7.83,64,Bajo,1,7.1,0
22,Masculino,Ciudad,8.05,70,Bajo,0,8.39,1
21,Masculino,Rural,8.17,75,Bajo,0,7.69,0
21,Masculino,Ciudad,7.97,69,Medio,0,7.13,0
22,Masculino,Ciudad,6.88,57,Bajo,0,6.32,1
20,Masculino,Rural,9.11,60,Medio,1,7.32,0
20,Femenino,Ciudad,9.51,78,Bajo,1,9.01,0
20,Masculino,Ciudad,7.29,83,Medio,0,7.54,0
18,Masculino,Ciudad,9.5,81,Alto,0,8.72,0
20,Masculino,Ciudad,8.42,72,Medio,0,7.65,1
19,Masculino,Ciudad,9.48,58,Medio,1,,0
39,Masculino,Ciudad,8.53,98,Bajo,1,7.96,1
40,Femenino,Ciudad,8.61,96,Bajo,1,8.33,0
22,Femenino,Ciudad,8.8,76,Medio,0,8.15,0
17,Femenino,Ciudad,7.87,67,Alto,0,7.4,0
18,Masculino,Ciudad,9.46,76,Medio,0,8.63,1
22,Femenino,Rural,7.6,57,Medio,1,6.87,1
17,Femenino,Ciudad,8.18,63,Medio,0,7.09,0
22,Masculino,Ciudad,8.92,59,Medio,0,8.22,0
18,Femenino,Ciudad,8.09,74,Bajo,0,7.89,1
19,Masculino,Rural,9.12,77,Medio,0,8.31,0
18,Femenino,Ciudad,9.6,68,Alto,0,8.67,1
18,Femenino,Ciudad,9.31,61,Bajo,0,8.0,1
22,Masculino,Ciudad,6.95,69,Medio,0,6.1,0
21,Femenino,Ciudad,8.6,65,Bajo,0,7.93,1
20,Femenino,Ciudad,9.32,62,Medio,0,,0
20,Masculino,Rural,7.45,73,Bajo,1,7.87,1
19,Masculino,Rural,9.08,62,Medio,0,7.82,1
19,Femenino,Ciudad,9.03,54,Medio,1,7.98,0
20,Masculino,Ciudad,7.53,56,Bajo,1,6.47,0
21,Femenino,Rural,9.17,54,Medio,0,7.7,0
20,Femenino,Ciudad,8.72,72,Medio,0,8.74,0
21,Masculino,Ciudad,9.02,71,Alto,0,8.14,1
19,Masculino,Ciudad,7.73,71,Bajo,0,7.18,1
17,Masculino,Ciudad,8.62,75,Bajo,0,,1
22,Masculino,Ciudad,7.14,81,Bajo,0,7.88,0
19,Masculino,Ciudad,6.68,64,Alto,0,6.3,0
19,Masculino,Rural,8.61,74,Alto,1,7.14,1
18,Femenino,Rural,9.38,54,Medio,0,7.49,0
18,Masculino,Ciudad,8.7,83,Medio,1,,0
18,Femenino,Ciudad,8.45,57,Medio,1,6.99,0
22,Femenino,Rural,8.35,62,Medio,0,7.52,0
18,Femenino,Rural,7.75,64,Bajo,0,6.88,1
21,Femenino,Ciudad,8.32,54,Medio,0,6.22,0
20,Masculino,Rural,8.84,70,Bajo,1,7.78,0
17,Masculino,Rural,8.15,72,Medio,0,8.11,0
19,Masculino,Ciudad,9.1,68,Medio,1,7.0,0
21,Femenino,Ciudad,8.66,54,Medio,1,7.5,0
17,Femenino,Ciudad,8.75,89,Bajo,0,8.25,0
21,Femenino,Ciudad,9.21,75,Bajo,0,8.85,1
21,Femenino,Ciudad,8.08,96,Bajo,0,9.06,1
19,Masculino,Rural,9.03,61,Bajo,1,7.81,0
20,Masculino,Ciudad,8.19,79,Bajo,0,8.01,0
18,Masculino,Ciudad,8.77,77,Alto,0,7.97,0
22,Femenino,Ciudad,7.98,67,Medio,0,6.8,1
20,Masculino,Ciudad,7.77,84,Bajo,0,,0
22,Masculino,Rural,8.57,65,Bajo,0,7.35,0
19,Masculino,Ciudad,6.99,66,Medio,0,7.64,1
39,Masculino,Ciudad,8.26,95,Medio,0,5.94,1
19,Femenino,Ciudad,7.21,74,Medio,0,7.56,1
17,Femenino,Ciudad,9.12,56,Alto,0,7.17,0
22,Femenino,Ciudad,9.34,64,Medio,0,8.45,0
20,Masculino,Ciudad,7.81,59,Alto,0,6.91,0
20,Femenino,Ciudad,8.84,66,Alto,0,7.8,0
21,Femenino,Ciudad,9.22,74,Bajo,1,8.81,0
21,Femenino,Ciudad,9.22,70,Alto,0,8.1,0
21,Femenino,Ciudad,8.67,77,Bajo,0,7.57,0
19,Masculino,Rural,9.09,82,Medio,0,9.14,0
20,Masculino,Ciudad,7.98,66,Bajo,1,6.87,0
22,Femenino,Ciudad,8.57,65,Alto,0,8.01,0
19,Femenino,Ciudad,8.13,79,Alto,0,8.55,0
17,Femenino,Ciudad,7.91,80,,0,7.78,1
21,Femenino,Ciudad,8.53,77,Medio,0,8.8,1
35,Femenino,Ciudad,8.78,97,Bajo,0,7.93,0
19,Femenino,Rural,9.43,74,Bajo,0,8.28,1
17,Femenino,Ciudad,8.71,71,,0,8.77,0
18,Masculino,Ciudad,9.01,80,Bajo,1,8.06,0
20,Masculino,Ciudad,9.02,64,Medio,1,7.8,0
22,Femenino,Rural,10.0,53,Bajo,1,8.03,1
18,Femenino,Ciudad,7.05,76,Alto,0,7.61,1
21,Masculino,Ciudad,7.95,44,Medio,0,7.1,1
19,Femenino,Ciudad,9.68,62,Medio,0,8.84,0
17,Masculino,Ciudad,8.22,59,Bajo,0,7.43,1
17,Masculino,Ciudad,9.21,59,Alto,0,7.77,0
20,Femenino,Rural,8.68,62,Alto,0,6.8,0
18,Femenino,Ciudad,10.0,82,Medio,0,8.63,1
20,Masculino,Ciudad,7.61,78,Medio,0,8.58,0
19,Femenino,Ciudad,9.48,67,Medio,0,7.47,0
20,Masculino,Ciudad,9.9,81,Bajo,1,8.8,1
22,Masculino,Ciudad,7.69,59,Medio,1,7.56,0
17,Masculino,Ciudad,9.13,58,Bajo,0,7.9,0
43,Femenino,Rural,7.73,98,Bajo,1,8.24,0
21,Masculino,Ciudad,8.52,75,Bajo,1,8.42,0
21,Femenino,Ciudad,8.29,65,Bajo,0,8.33,1
19,Masculino,Ciudad,6.58,58,Bajo,1,6.44,0
22,Masculino,Ciudad,8.84,84,Bajo,0,9.02,1
18,Femenino,Ciudad,8.61,52,Alto,0,6.92,0
20,Masculino,Ciudad,9.68,64,Medio,1,8.66,0
19,Masculino,Ciudad,8.99,72,Alto,1,8.09,1
21,Femenino,Rural,10.0,88,Medio,0,9.29,0
20,Femenino,Rural,8.59,73,Bajo,0,8.55,0
21,Femenino,Ciudad,8.42,74,Medio,0,8.49,0
20,Femenino,Ciudad,8.35,64,Medio,0,8.43,0
18,Femenino,Ciudad,8.15,75,Bajo,0,8.73,0
19,Masculino,Ciudad,6.73,71,Medio,0,7.34,0
20,Femenino,Ciudad,8.32,54,Bajo,1,6.3,0
22,Femenino,Ciudad,6.85,77,Medio,0,8.14,0
17,Masculino,Ciudad,8.86,79,,0,8.96,0
22,Femenino,Ciudad,7.51,78,Bajo,1,,0
22,Masculino,Ciudad,7.78,70,Bajo,1,7.85,0
17,Femenino,Ciudad,7.96,60,Medio,0,,1
22,Femenino,Ciudad,8.34,46,,0,7.19,0
20,Masculino,Ciudad,8.51,71,Bajo,1,7.31,0
20,Masculino,Ciudad,9.37,80,Alto,0,8.45,1
20,Masculino,Ciudad,8.04,80,Bajo,1,8.38,0
17,Masculino,Rural,8.88,78,Medio,1,8.99,0
22,Masculino,Ciudad,10.0,69,Alto,1,8.93,1
17,Femenino,Ciudad,8.8,80,Bajo,1,8.37,0
20,Femenino,Ciudad,8.36,79,Bajo,1,7.12,0
22,Masculino,Ciudad,7.88,65,Bajo,0,7.25,0
22,Masculino,Ciudad,8.34,76,Bajo,0,8.35,1
21,Otro,Ciudad,7.79,64,Bajo,0,7.1,0
21,Femenino,Rural,8.71,75,Medio,0,8.23,0
18,Femenino,Rural,8.58,57,Bajo,1,7.34,1
19,Masculino,Ciudad,6.77,57,Medio,0,6.21,0
21,Femenino,Ciudad,8.49,80,Alto,0,8.35,0
17,Masculino,Ciudad,9.36,79,Medio,1,8.66,0
21,Masculino,Ciudad,8.18,76,Medio,0,8.68,0
18,Femenino,Rural,7.98,70,Bajo,1,6.52,0
22,Masculino,Ciudad,7.4,46,Medio,0,6.01,1
18,Masculino,Ciudad,7.01,69,Medio,0,6.55,1
22,Femenino,Ciudad,9.17,74,Medio,1,8.59,1
22,Masculino,Ciudad,8.35,64,Bajo,0,,1
19,Femenino,Ciudad,9.12,62,Alto,0,8.8,0
21,Masculino,Ciudad,9.73,84,Medio,0,10.0,0
17,Femenino,Ciudad,9.24,69,Bajo,1,7.93,1
17,Masculino,Rural,8.07,74,Bajo,0,7.82,1
20,Femenino,Rural,8.62,77,Medio,1,8.38,0
22,Femenino,Ciudad,8.01,60,Medio,0,6.81,0
17,Masculino,Ciudad,7.93,71,,1,7.95,0
19,Femenino,Ciudad,8.77,83,Medio,0,,0
22,Femenino,Ciudad,7.83,88,Bajo,0,7.69,1
19,Masculino,Ciudad,6.73,70,Medio,0,6.72,1
17,Masculino,Ciudad,7.79,67,Medio,0,6.88,0
17,Masculino,Ciudad,8.25,72,Bajo,1,8.38,0
20,Masculino,Ciudad,9.72,72,Bajo,1,9.68,0
17,Femenino,Ciudad,8.11,83,Medio,1,8.34,0
49,Femenino,Ciudad,8.91,99,Bajo,1,7.8,1
22,Femenino,Rural,8.37,67,Medio,1,7.78,1
22,Masculino,Rural,9.48,58,,1,8.63,0
20,Masculino,Ciudad,9.43,59,Bajo,1,8.63,1
20,Masculino,Rural,9.44,73,Bajo,1,8.56,1
17,Masculino,Ciudad,7.11,78,Alto,0,7.52,1
18,Femenino,Rural,8.67,63,Medio,1,,1
18,Femenino,Rural,9.11,77,Alto,0,8.0,0
20,Femenino,Ciudad,8.81,81,Medio,0,9.13,1
17,Masculino,Ciudad,9.01,89,Bajo,0,9.84,0
18,Femenino,Ciudad,8.55,70,Medio,0,8.54,0
17,Masculino,Ciudad,7.9,63,Medio,0,6.66,0
17,Femenino,Ciudad,7.14,60,Medio,0,5.7,1
17,Femenino,Ciudad,7.98,59,Bajo,1,,0
21,Femenino,Ciudad,10.0,82,Medio,0,8.92,1
22,Masculino,Rural,8.11,54,Bajo,1,7.2,0
17,Masculino,Rural,6.93,82,,1,8.22,0
21,Femenino,Ciudad,9.09,61,Medio,0,7.58,0
20,Femenino,Ciudad,9.18,63,Medio,0,7.85,0
18,Masculino,Ciudad,9.53,68,Bajo,0,8.6,0
22,Femenino,Ciudad,8.88,63,Bajo,1,7.2,0
18,Masculino,Rural,9.18,79,Medio,1,8.3,0
36,Masculino,Ciudad,9.97,98,Medio,0,9.52,0
18,Femenino,Ciudad,7.9,63,Alto,0,7.13,0
22,Femenino,Ciudad,7.74,65,Alto,0,7.58,0
18,Otro,Ciudad,7.62,68,Medio,0,8.69,0
18,Femenino,Ciudad,8.29,75,Bajo,1,8.04,0
18,Femenino,Rural,9.65,68,Medio,1,8.11,0
18,Masculino,Ciudad,8.92,83,Medio,0,9.42,0
20,Masculino,Ciudad,8.89,81,,1,7.8,1
17,Otro,Ciudad,7.04,58,Medio,0,5.86,0
47,Masculino,Rural,7.95,98,Bajo,0,7.48,1
21,Femenino,Rural,7.03,85,Alto,0,7.49,0
19,Femenino,Ciudad,9.44,65,Medio,0,7.96,1
19,Masculino,Ciudad,9.77,67,Medio,0,8.53,1
22,Masculino,Ciudad,9.12,64,Medio,1,8.2,0
